seqname,source,feature,HP_number,start,end,Putative_Id,Orf_Size,Prot_Size(est),score,strand,frame,attribute
.,forsyth,gene,HP0467,488690,489034,conserved hypothetical integral membrane protein {Helicobacter pylori},344,12650,.,-,.,gene=HP0467;Putative_Id=conserved hypothetical integral membrane protein {Helicobacter pylori};Orf_Size=344;Prot_Size(est)=12650.0
.,forsyth,gene,HP0468,489006,490490,conserved hypothetical protein {Helicobacter pylori},1484,54450,.,-,.,gene=HP0468;Putative_Id=conserved hypothetical protein {Helicobacter pylori};Orf_Size=1484;Prot_Size(est)=54450.0
.,forsyth,gene,HP0469,490505,490990,conserved hypothetical protein {Helicobacter pylori},485,17820,.,-,.,gene=HP0469;Putative_Id=conserved hypothetical protein {Helicobacter pylori};Orf_Size=485;Prot_Size(est)=17820.0
.,forsyth,gene,HP0470,490978,492711,oligoendopeptidase F (pepF) {Helicobacter pylori},1733,63580,.,-,.,gene=HP0470;Putative_Id=oligoendopeptidase F (pepF) {Helicobacter pylori};Orf_Size=1733;Prot_Size(est)=63580.0
.,forsyth,gene,HP0471,492812,494059,glutathione-regulated potassium-efflux system protein (kefB) {Helicobacter pylori},1247,45760,.,-,.,gene=HP0471;Putative_Id=glutathione-regulated potassium-efflux system protein (kefB) {Helicobacter pylori};Orf_Size=1247;Prot_Size(est)=45760.0
.,forsyth,gene,HP0472,494382,494939,outer membrane protein (omp11),557,20460,.,-,.,gene=HP0472;Putative_Id=outer membrane protein (omp11);Orf_Size=557;Prot_Size(est)=20460.0
.,forsyth,gene,HP0473,495165,495902,"molybdenum ABC transporter, periplasmic molybdate-binding protein (modA) {Helicobacter pylori}",737,27060,.,+,.,"gene=HP0473;Putative_Id=molybdenum ABC transporter, periplasmic molybdate-binding protein (modA) {Helicobacter pylori};Orf_Size=737;Prot_Size(est)=27060.0"
.,forsyth,gene,HP0474,495927,496598,"molybdenum ABC transporter, permease protein (modB) {Escherichia coli}",671,24640,.,+,.,"gene=HP0474;Putative_Id=molybdenum ABC transporter, permease protein (modB) {Escherichia coli};Orf_Size=671;Prot_Size(est)=24640.0"
.,forsyth,gene,HP0475,496598,497392,"molybdenum ABC transporter, ATP-binding protein (modD) {Azotobacter vinelandii}",794,29150,.,+,.,"gene=HP0475;Putative_Id=molybdenum ABC transporter, ATP-binding protein (modD) {Azotobacter vinelandii};Orf_Size=794;Prot_Size(est)=29150.0"
.,forsyth,gene,HP0476,497513,498901,glutamyl-tRNA synthetase (gltX) {Escherichia coli},1388,50930,.,-,.,gene=HP0476;Putative_Id=glutamyl-tRNA synthetase (gltX) {Escherichia coli};Orf_Size=1388;Prot_Size(est)=50930.0
.,forsyth,gene,HP0477,499019,500119,outer membrane protein (omp12),1100,40370,.,+,.,gene=HP0477;Putative_Id=outer membrane protein (omp12);Orf_Size=1100;Prot_Size(est)=40370.0
.,forsyth,gene,HP0478,500131,501765,adenine specific DNA methyltransferase (VSPIM) {Vibrio sp.},1634,59950,.,+,.,gene=HP0478;Putative_Id=adenine specific DNA methyltransferase (VSPIM) {Vibrio sp.};Orf_Size=1634;Prot_Size(est)=59950.0
.,forsyth,gene,HP0479,501734,502579,hypothetical protein,845,31020,.,+,.,gene=HP0479;Putative_Id=hypothetical protein;Orf_Size=845;Prot_Size(est)=31020.0
.,forsyth,gene,HP0480,502628,504424,"GTP-binding protein, fusA-homolog (yihK) {Escherichia coli}",1796,65890,.,+,.,"gene=HP0480;Putative_Id=GTP-binding protein, fusA-homolog (yihK) {Escherichia coli};Orf_Size=1796;Prot_Size(est)=65890.0"
.,forsyth,gene,HP0481,504443,505075,adenine specific DNA methyltransferase (MFOKI) {Flavobacterium okeanokoites},632,23210,.,+,.,gene=HP0481;Putative_Id=adenine specific DNA methyltransferase (MFOKI) {Flavobacterium okeanokoites};Orf_Size=632;Prot_Size(est)=23210.0
.,forsyth,gene,HP0482,505374,505883,hypothetical protein,509,18700,.,+,.,gene=HP0482;Putative_Id=hypothetical protein;Orf_Size=509;Prot_Size(est)=18700.0
.,forsyth,gene,HP0483,506145,507131,cytosine specific DNA methyltransferase (HPHIMC) {Haemophilus parahaemolyticus},986,36190,.,+,.,gene=HP0483;Putative_Id=cytosine specific DNA methyltransferase (HPHIMC) {Haemophilus parahaemolyticus};Orf_Size=986;Prot_Size(est)=36190.0
.,forsyth,gene,HP0484,507136,507885,hypothetical protein,749,27500,.,+,.,gene=HP0484;Putative_Id=hypothetical protein;Orf_Size=749;Prot_Size(est)=27500.0
.,forsyth,gene,HP0485,508125,509066,catalase-like protein {Synechococcus sp.},941,34540,.,-,.,gene=HP0485;Putative_Id=catalase-like protein {Synechococcus sp.};Orf_Size=941;Prot_Size(est)=34540.0
.,forsyth,gene,HP0486,509352,510935,hypothetical protein,1583,58080,.,+,.,gene=HP0486;Putative_Id=hypothetical protein;Orf_Size=1583;Prot_Size(est)=58080.0
.,forsyth,gene,HP0487,510965,512404,hypothetical protein,1439,52800,.,+,.,gene=HP0487;Putative_Id=hypothetical protein;Orf_Size=1439;Prot_Size(est)=52800.0
.,forsyth,gene,HP0488,512806,515676,hypothetical protein,2870,105270,.,+,.,gene=HP0488;Putative_Id=hypothetical protein;Orf_Size=2870;Prot_Size(est)=105270.0
.,forsyth,gene,HP0489,515693,516577,hypothetical protein,884,32450,.,+,.,gene=HP0489;Putative_Id=hypothetical protein;Orf_Size=884;Prot_Size(est)=32450.0
.,forsyth,gene,HP0490,517003,518136,"putative potassium channel protein, putative {Methanococcus jannaschii}",1133,41580,.,-,.,"gene=HP0490;Putative_Id=putative potassium channel protein, putative {Methanococcus jannaschii};Orf_Size=1133;Prot_Size(est)=41580.0"
.,forsyth,gene,HP0491,518288,518473,ribosomal protein L28 (rpL28) {Mycoplasma genitalium},185,6820,.,-,.,gene=HP0491;Putative_Id=ribosomal protein L28 (rpL28) {Mycoplasma genitalium};Orf_Size=185;Prot_Size(est)=6820.0
.,forsyth,gene,HP0492,518576,519409,hypothetical protein,833,30580,.,-,.,gene=HP0492;Putative_Id=hypothetical protein;Orf_Size=833;Prot_Size(est)=30580.0
.,forsyth,gene,HP0493,519534,520592,phospho-N-acetylmuramoyl-pentapeptide-transferase (mraY) {Escherichia coli},1058,38830,.,+,.,gene=HP0493;Putative_Id=phospho-N-acetylmuramoyl-pentapeptide-transferase (mraY) {Escherichia coli};Orf_Size=1058;Prot_Size(est)=38830.0
.,forsyth,gene,HP0494,520597,521862,UDP-N-acetylmuramoylalanine-D-glutamate ligase (murD) {Haemophilus influenzae},1265,46420,.,+,.,gene=HP0494;Putative_Id=UDP-N-acetylmuramoylalanine-D-glutamate ligase (murD) {Haemophilus influenzae};Orf_Size=1265;Prot_Size(est)=46420.0
.,forsyth,gene,HP0495,521865,522122,hypothetical protein,257,9460,.,-,.,gene=HP0495;Putative_Id=hypothetical protein;Orf_Size=257;Prot_Size(est)=9460.0
.,forsyth,gene,HP0496,522115,522513,conserved hypothetical protein {Helicobacter pylori},398,14630,.,-,.,gene=HP0496;Putative_Id=conserved hypothetical protein {Helicobacter pylori};Orf_Size=398;Prot_Size(est)=14630.0
.,forsyth,gene,HP0497,522742,524067,sodium- and chloride-dependent transporter {Haemophilus influenzae},1325,48620,.,+,.,gene=HP0497;Putative_Id=sodium- and chloride-dependent transporter {Haemophilus influenzae};Orf_Size=1325;Prot_Size(est)=48620.0
.,forsyth,gene,HP0498,524081,525406,sodium- and chloride-dependent transporter  {Haemophilus influenzae},1325,48620,.,+,.,gene=HP0498;Putative_Id=sodium- and chloride-dependent transporter  {Haemophilus influenzae};Orf_Size=1325;Prot_Size(est)=48620.0
.,forsyth,gene,HP0499,525424,526488,phospholipase A1 precursor (DR-phospholipase A) {Escherichia coli},1064,39050,.,+,.,gene=HP0499;Putative_Id=phospholipase A1 precursor (DR-phospholipase A) {Escherichia coli};Orf_Size=1064;Prot_Size(est)=39050.0
.,forsyth,gene,HP0500,526549,527670,DNA polymerase III beta-subunit (dnaN) {Haemophilus influenzae},1121,41140,.,+,.,gene=HP0500;Putative_Id=DNA polymerase III beta-subunit (dnaN) {Haemophilus influenzae};Orf_Size=1121;Prot_Size(est)=41140.0
.,forsyth,gene,HP0501,527686,530004,"DNA gyrase, sub B (gyrB) {Haemophilus influenzae}",2318,85030,.,+,.,"gene=HP0501;Putative_Id=DNA gyrase, sub B (gyrB) {Haemophilus influenzae};Orf_Size=2318;Prot_Size(est)=85030.0"
.,forsyth,gene,HP0502,530053,530214,hypothetical protein,161,5940,.,+,.,gene=HP0502;Putative_Id=hypothetical protein;Orf_Size=161;Prot_Size(est)=5940.0
.,forsyth,gene,HP0503,530306,531043,hypothetical protein,737,27060,.,+,.,gene=HP0503;Putative_Id=hypothetical protein;Orf_Size=737;Prot_Size(est)=27060.0
.,forsyth,gene,HP0504,531033,531179,hypothetical protein,146,5390,.,+,.,gene=HP0504;Putative_Id=hypothetical protein;Orf_Size=146;Prot_Size(est)=5390.0
.,forsyth,gene,HP0505,531323,531784,hypothetical protein,461,16940,.,+,.,gene=HP0505;Putative_Id=hypothetical protein;Orf_Size=461;Prot_Size(est)=16940.0
.,forsyth,gene,HP0506,531991,533199,conserved hypothetical secreted protein {Haemophilus influenzae},1208,44330,.,+,.,gene=HP0506;Putative_Id=conserved hypothetical secreted protein {Haemophilus influenzae};Orf_Size=1208;Prot_Size(est)=44330.0
.,forsyth,gene,HP0507,533202,533837,conserved hypothetical protein {Caenorhabditis elegans},635,23320,.,+,.,gene=HP0507;Putative_Id=conserved hypothetical protein {Caenorhabditis elegans};Orf_Size=635;Prot_Size(est)=23320.0
.,forsyth,gene,HP0508,533851,535206,hypothetical protein,1355,49720,.,+,.,gene=HP0508;Putative_Id=hypothetical protein;Orf_Size=1355;Prot_Size(est)=49720.0
.,forsyth,gene,HP0509,535211,536587,glycolate oxidase subunit (glcD) {Helicobacter pylori},1376,50490,.,+,.,gene=HP0509;Putative_Id=glycolate oxidase subunit (glcD) {Helicobacter pylori};Orf_Size=1376;Prot_Size(est)=50490.0
.,forsyth,gene,HP0510,536612,537373,dihydrodipicolinate reductase (dapB) {Helicobacter pylori},761,27940,.,+,.,gene=HP0510;Putative_Id=dihydrodipicolinate reductase (dapB) {Helicobacter pylori};Orf_Size=761;Prot_Size(est)=27940.0
.,forsyth,gene,HP0511,537802,537915,hypothetical protein,113,4180,.,+,.,gene=HP0511;Putative_Id=hypothetical protein;Orf_Size=113;Prot_Size(est)=4180.0
.,forsyth,gene,HP0512,538240,539682,glutamine synthetase (glnA) {Eschericha coli},1442,52910,.,-,.,gene=HP0512;Putative_Id=glutamine synthetase (glnA) {Eschericha coli};Orf_Size=1442;Prot_Size(est)=52910.0
.,forsyth,gene,HP0513,539973,541946,hypothetical protein,1973,72380,.,+,.,gene=HP0513;Putative_Id=hypothetical protein;Orf_Size=1973;Prot_Size(est)=72380.0
.,forsyth,gene,HP0514,542010,542459,ribosomal protein L9 (rpl9) {Bacillus stearothermophilus},449,16500,.,+,.,gene=HP0514;Putative_Id=ribosomal protein L9 (rpl9) {Bacillus stearothermophilus};Orf_Size=449;Prot_Size(est)=16500.0
.,forsyth,gene,HP0515,542466,543005,heat shock protein (hslV) {Haemophilus influenzae},539,19800,.,+,.,gene=HP0515;Putative_Id=heat shock protein (hslV) {Haemophilus influenzae};Orf_Size=539;Prot_Size(est)=19800.0
.,forsyth,gene,HP0516,543008,544336,heat shock protein (hslU) ORF1 {Helicobacter pylori},1328,48730,.,+,.,gene=HP0516;Putative_Id=heat shock protein (hslU) ORF1 {Helicobacter pylori};Orf_Size=1328;Prot_Size(est)=48730.0
.,forsyth,gene,HP0517,544336,545241,GTP-binding protein (era) {Helicobacter pylori},905,33220,.,+,.,gene=HP0517;Putative_Id=GTP-binding protein (era) {Helicobacter pylori};Orf_Size=905;Prot_Size(est)=33220.0
.,forsyth,gene,HP0518,545241,546230,conserved hypothetical secreted protein {Helicobacter pylori},989,36300,.,+,.,gene=HP0518;Putative_Id=conserved hypothetical secreted protein {Helicobacter pylori};Orf_Size=989;Prot_Size(est)=36300.0
.,forsyth,gene,HP0519,546325,547152,conserved hypothetical protein {Helicobacter pylori},827,30360,.,-,.,gene=HP0519;Putative_Id=conserved hypothetical protein {Helicobacter pylori};Orf_Size=827;Prot_Size(est)=30360.0
.,forsyth,gene,HP0520,547328,547672,cag pathogenicity island protein (cag1) {Helicobacter pylori},344,12650,.,+,.,gene=HP0520;Putative_Id=cag pathogenicity island protein (cag1) {Helicobacter pylori};Orf_Size=344;Prot_Size(est)=12650.0
.,forsyth,gene,HP0521,547783,548022,cag pathogenicity island protein (cag2) {Helicobacter pylori},239,8800,.,+,.,gene=HP0521;Putative_Id=cag pathogenicity island protein (cag2) {Helicobacter pylori};Orf_Size=239;Prot_Size(est)=8800.0
.,forsyth,gene,HP0522,548134,549576,cag pathogenicity island protein (cag3) {Helicobacter pylori},1442,52910,.,+,.,gene=HP0522;Putative_Id=cag pathogenicity island protein (cag3) {Helicobacter pylori};Orf_Size=1442;Prot_Size(est)=52910.0
.,forsyth,gene,HP0523,549589,550095,cag pathogenicity island protein (cag4) {Helicobacter pylori},506,18590,.,+,.,gene=HP0523;Putative_Id=cag pathogenicity island protein (cag4) {Helicobacter pylori};Orf_Size=506;Prot_Size(est)=18590.0
.,forsyth,gene,HP0524,550220,552463,cag pathogenicity island protein (cag5) {Helicobacter pylori},2243,82280,.,-,.,gene=HP0524;Putative_Id=cag pathogenicity island protein (cag5) {Helicobacter pylori};Orf_Size=2243;Prot_Size(est)=82280.0
.,forsyth,gene,HP0525,552475,553464,virB11 homolog {Helicobacter pylori},989,36300,.,-,.,gene=HP0525;Putative_Id=virB11 homolog {Helicobacter pylori};Orf_Size=989;Prot_Size(est)=36300.0
.,forsyth,gene,HP0526,553472,554068,cag pathogenicity island protein (cag6) {Helicobacter pylori},596,21890,.,-,.,gene=HP0526;Putative_Id=cag pathogenicity island protein (cag6) {Helicobacter pylori};Orf_Size=596;Prot_Size(est)=21890.0
.,forsyth,gene,HP0527,554209,559989,cag pathogenicity island protein (cag7) {Helicobacter pylori},5780,211970,.,-,.,gene=HP0527;Putative_Id=cag pathogenicity island protein (cag7) {Helicobacter pylori};Orf_Size=5780;Prot_Size(est)=211970.0
.,forsyth,gene,HP0528,560007,561572,cag pathogenicity island protein (cag8) {Helicobacter pylori},1565,57420,.,-,.,gene=HP0528;Putative_Id=cag pathogenicity island protein (cag8) {Helicobacter pylori};Orf_Size=1565;Prot_Size(est)=57420.0
.,forsyth,gene,HP0529,561628,563232,cag pathogenicity island protein (cag9) {Helicobacter pylori},1604,58850,.,-,.,gene=HP0529;Putative_Id=cag pathogenicity island protein (cag9) {Helicobacter pylori};Orf_Size=1604;Prot_Size(est)=58850.0
.,forsyth,gene,HP0530,563240,563995,cag pathogenicity island protein (cag10) {Helicobacter pylori},755,27720,.,-,.,gene=HP0530;Putative_Id=cag pathogenicity island protein (cag10) {Helicobacter pylori};Orf_Size=755;Prot_Size(est)=27720.0
.,forsyth,gene,HP0531,564381,565034,cag pathogenicity island protein (cag11) {Helicobacter pylori},653,23980,.,+,.,gene=HP0531;Putative_Id=cag pathogenicity island protein (cag11) {Helicobacter pylori};Orf_Size=653;Prot_Size(est)=23980.0
.,forsyth,gene,HP0532,565073,565912,cag pathogenicity island protein (cag12) {Helicobacter pylori},839,30800,.,+,.,gene=HP0532;Putative_Id=cag pathogenicity island protein (cag12) {Helicobacter pylori};Orf_Size=839;Prot_Size(est)=30800.0
.,forsyth,gene,HP0533,566038,566124,hypothetical protein,86,3190,.,-,.,gene=HP0533;Putative_Id=hypothetical protein;Orf_Size=86;Prot_Size(est)=3190.0
.,forsyth,gene,HP0534,566129,566716,cag pathogenicity island protein (cag13) {Helicobacter pylori},587,21560,.,-,.,gene=HP0534;Putative_Id=cag pathogenicity island protein (cag13) {Helicobacter pylori};Orf_Size=587;Prot_Size(est)=21560.0
.,forsyth,gene,HP0535,567145,567522,cag pathogenicity island protein (cag14) {Helicobacter pylori},377,13860,.,-,.,gene=HP0535;Putative_Id=cag pathogenicity island protein (cag14) {Helicobacter pylori};Orf_Size=377;Prot_Size(est)=13860.0
.,forsyth,gene,HP0536,567958,568299,cag pathogenicity island protein (cag15) {Helicobacter pylori},341,12540,.,-,.,gene=HP0536;Putative_Id=cag pathogenicity island protein (cag15) {Helicobacter pylori};Orf_Size=341;Prot_Size(est)=12540.0
.,forsyth,gene,HP0537,568723,569850,cag pathogenicity island protein (cag16) {Helicobacter pylori},1127,41360,.,+,.,gene=HP0537;Putative_Id=cag pathogenicity island protein (cag16) {Helicobacter pylori};Orf_Size=1127;Prot_Size(est)=41360.0
.,forsyth,gene,HP0538,569868,570785,cag pathogenicity island protein (cag17) {Helicobacter pylori},917,33660,.,+,.,gene=HP0538;Putative_Id=cag pathogenicity island protein (cag17) {Helicobacter pylori};Orf_Size=917;Prot_Size(est)=33660.0
.,forsyth,gene,HP0539,570873,571583,cag pathogenicity island protein (cag18) {Helicobacter pylori},710,26070,.,-,.,gene=HP0539;Putative_Id=cag pathogenicity island protein (cag18) {Helicobacter pylori};Orf_Size=710;Prot_Size(est)=26070.0
.,forsyth,gene,HP0540,571583,572725,cag pathogenicity island protein (cag19) {Helicobacter pylori},1142,41910,.,-,.,gene=HP0540;Putative_Id=cag pathogenicity island protein (cag19) {Helicobacter pylori};Orf_Size=1142;Prot_Size(est)=41910.0
.,forsyth,gene,HP0541,572739,573848,cag pathogenicity island protein (cag20) {Helicobacter pylori},1109,40700,.,-,.,gene=HP0541;Putative_Id=cag pathogenicity island protein (cag20) {Helicobacter pylori};Orf_Size=1109;Prot_Size(est)=40700.0
.,forsyth,gene,HP0542,573867,574292,cag pathogenicity island protein (cag21) {Helicobacter pylori},425,15620,.,-,.,gene=HP0542;Putative_Id=cag pathogenicity island protein (cag21) {Helicobacter pylori};Orf_Size=425;Prot_Size(est)=15620.0
.,forsyth,gene,HP0543,574350,575153,cag pathogenicity island protein (cag22) {Helicobacter pylori},803,29480,.,-,.,gene=HP0543;Putative_Id=cag pathogenicity island protein (cag22) {Helicobacter pylori};Orf_Size=803;Prot_Size(est)=29480.0
.,forsyth,gene,HP0544,575158,578106,cag pathogenicity island protein (cag23) {Helicobacter pylori},2948,108130,.,-,.,gene=HP0544;Putative_Id=cag pathogenicity island protein (cag23) {Helicobacter pylori};Orf_Size=2948;Prot_Size(est)=108130.0
.,forsyth,gene,HP0545,578118,578738,cag pathogenicity island protein (cag24) {Helicobacter pylori},620,22770,.,-,.,gene=HP0545;Putative_Id=cag pathogenicity island protein (cag24) {Helicobacter pylori};Orf_Size=620;Prot_Size(est)=22770.0
.,forsyth,gene,HP0546,578743,579087,cag pathogenicity island protein (cag25) {Helicobacter pylori},344,12650,.,-,.,gene=HP0546;Putative_Id=cag pathogenicity island protein (cag25) {Helicobacter pylori};Orf_Size=344;Prot_Size(est)=12650.0
.,forsyth,gene,HP0547,579921,583478,cag pathogenicity island protein (cag26) {Helicobacter pylori},3557,130460,.,+,.,gene=HP0547;Putative_Id=cag pathogenicity island protein (cag26) {Helicobacter pylori};Orf_Size=3557;Prot_Size(est)=130460.0
.,forsyth,gene,HP0548,583610,584434,"DNA helicase, putative {Methanococcus jannaschii}",824,30250,.,+,.,"gene=HP0548;Putative_Id=DNA helicase, putative {Methanococcus jannaschii};Orf_Size=824;Prot_Size(est)=30250.0"
.,forsyth,gene,HP0549,584586,585350,glutamate racemase (glr) {Staphylococcus haemolyticus},764,28050,.,-,.,gene=HP0549;Putative_Id=glutamate racemase (glr) {Staphylococcus haemolyticus};Orf_Size=764;Prot_Size(est)=28050.0
.,forsyth,gene,HP0550,585391,586704,transcription termination factor Rho (rho) {Haemophilus influenzae},1313,48180,.,-,.,gene=HP0550;Putative_Id=transcription termination factor Rho (rho) {Haemophilus influenzae};Orf_Size=1313;Prot_Size(est)=48180.0
.,forsyth,gene,HP0551,586968,587168,ribosomal protein L31 (rpl31) {Bacillus subtilis},200,7370,.,+,.,gene=HP0551;Putative_Id=ribosomal protein L31 (rpl31) {Bacillus subtilis};Orf_Size=200;Prot_Size(est)=7370.0
.,forsyth,gene,HP0552,587196,588056,conserved hypothetical protein {Escherichia coli},860,31570,.,+,.,gene=HP0552;Putative_Id=conserved hypothetical protein {Escherichia coli};Orf_Size=860;Prot_Size(est)=31570.0
.,forsyth,gene,HP0553,588072,588752,conserved hypothetical protein {Haemophilus influenzae},680,24970,.,+,.,gene=HP0553;Putative_Id=conserved hypothetical protein {Haemophilus influenzae};Orf_Size=680;Prot_Size(est)=24970.0
.,forsyth,gene,HP0554,588768,589730,hypothetical protein,962,35310,.,+,.,gene=HP0554;Putative_Id=hypothetical protein;Orf_Size=962;Prot_Size(est)=35310.0
.,forsyth,gene,HP0555,589730,590548,hypothetical protein,818,30030,.,+,.,gene=HP0555;Putative_Id=hypothetical protein;Orf_Size=818;Prot_Size(est)=30030.0
.,forsyth,gene,HP0556,590627,591061,hypothetical protein,434,15950,.,-,.,gene=HP0556;Putative_Id=hypothetical protein;Orf_Size=434;Prot_Size(est)=15950.0
.,forsyth,gene,HP0557,591533,592468,acetyl-coenzyme A carboxylase (accA) {Escherichia coli},935,34320,.,-,.,gene=HP0557;Putative_Id=acetyl-coenzyme A carboxylase (accA) {Escherichia coli};Orf_Size=935;Prot_Size(est)=34320.0
.,forsyth,gene,HP0558,592494,593729,beta ketoacyl-acyl carrier protein synthase II (fabF) {Escherichia coli},1235,45320,.,-,.,gene=HP0558;Putative_Id=beta ketoacyl-acyl carrier protein synthase II (fabF) {Escherichia coli};Orf_Size=1235;Prot_Size(est)=45320.0
.,forsyth,gene,HP0559,594040,594273,acyl carrier protein (acpP) {Haemophilus influenzae},233,8580,.,-,.,gene=HP0559;Putative_Id=acyl carrier protein (acpP) {Haemophilus influenzae};Orf_Size=233;Prot_Size(est)=8580.0
.,forsyth,gene,HP0560,594329,594406,hypothetical protein,77,2860,.,-,.,gene=HP0560;Putative_Id=hypothetical protein;Orf_Size=77;Prot_Size(est)=2860.0
.,forsyth,gene,HP0561,594507,595247,3-ketoacyl-acyl carrier protein reductase (fabG) {Escherichia coli},740,27170,.,-,.,gene=HP0561;Putative_Id=3-ketoacyl-acyl carrier protein reductase (fabG) {Escherichia coli};Orf_Size=740;Prot_Size(est)=27170.0
.,forsyth,gene,HP0562,595292,595501,ribosomal protein S21 (rps21) {Myxococcus xanthus},209,7700,.,-,.,gene=HP0562;Putative_Id=ribosomal protein S21 (rps21) {Myxococcus xanthus};Orf_Size=209;Prot_Size(est)=7700.0
.,forsyth,gene,HP0563,595605,596852,hypothetical protein,1247,45760,.,-,.,gene=HP0563;Putative_Id=hypothetical protein;Orf_Size=1247;Prot_Size(est)=45760.0
.,forsyth,gene,HP0564,597100,597267,hypothetical protein,167,6160,.,+,.,gene=HP0564;Putative_Id=hypothetical protein;Orf_Size=167;Prot_Size(est)=6160.0
.,forsyth,gene,HP0565,597296,597940,hypothetical protein,644,23650,.,-,.,gene=HP0565;Putative_Id=hypothetical protein;Orf_Size=644;Prot_Size(est)=23650.0
.,forsyth,gene,HP0566,598050,598868,diaminopimelate epimerase (dapF) {Haemophilus influenzae},818,30030,.,-,.,gene=HP0566;Putative_Id=diaminopimelate epimerase (dapF) {Haemophilus influenzae};Orf_Size=818;Prot_Size(est)=30030.0
.,forsyth,gene,HP0567,598984,600027,membrane protein {Streptococcus pneumoniae},1043,38280,.,+,.,gene=HP0567;Putative_Id=membrane protein {Streptococcus pneumoniae};Orf_Size=1043;Prot_Size(est)=38280.0
.,forsyth,gene,HP0568,600180,600944,hypothetical protein,764,28050,.,-,.,gene=HP0568;Putative_Id=hypothetical protein;Orf_Size=764;Prot_Size(est)=28050.0
.,forsyth,gene,HP0569,601082,602179,GTP-binding protein (gtp1) {Mycoplasma genitalium},1097,40260,.,-,.,gene=HP0569;Putative_Id=GTP-binding protein (gtp1) {Mycoplasma genitalium};Orf_Size=1097;Prot_Size(est)=40260.0
.,forsyth,gene,HP0570,602184,603671,aminopeptidase a/i (pepA) {Haemophilus influenzae},1487,54560,.,-,.,gene=HP0570;Putative_Id=aminopeptidase a/i (pepA) {Haemophilus influenzae};Orf_Size=1487;Prot_Size(est)=54560.0
.,forsyth,gene,HP0571,603722,604297,conserved hypothetical integral membrane protein {Escherichia coli},575,21120,.,-,.,gene=HP0571;Putative_Id=conserved hypothetical integral membrane protein {Escherichia coli};Orf_Size=575;Prot_Size(est)=21120.0
.,forsyth,gene,HP0572,604315,604851,adenine phosphoribosyltransferase (apt) {Escherichia coli},536,19690,.,-,.,gene=HP0572;Putative_Id=adenine phosphoribosyltransferase (apt) {Escherichia coli};Orf_Size=536;Prot_Size(est)=19690.0
.,forsyth,gene,HP0573,604912,605241,hypothetical protein,329,12100,.,-,.,gene=HP0573;Putative_Id=hypothetical protein;Orf_Size=329;Prot_Size(est)=12100.0
.,forsyth,gene,HP0574,605296,605748,galactosidase acetyltransferase (lacA) {Mycoplasma genitalium},452,16610,.,-,.,gene=HP0574;Putative_Id=galactosidase acetyltransferase (lacA) {Mycoplasma genitalium};Orf_Size=452;Prot_Size(est)=16610.0
.,forsyth,gene,HP0575,605772,606467,conserved hypothetical membrane protein {Bacillus subtilis},695,25520,.,-,.,gene=HP0575;Putative_Id=conserved hypothetical membrane protein {Bacillus subtilis};Orf_Size=695;Prot_Size(est)=25520.0
.,forsyth,gene,HP0576,606479,607348,signal peptidase I (lepB) {Haemophilus influenzae},869,31900,.,-,.,gene=HP0576;Putative_Id=signal peptidase I (lepB) {Haemophilus influenzae};Orf_Size=869;Prot_Size(est)=31900.0
.,forsyth,gene,HP0577,607351,608226,methylene-tetrahydrofolate dehydrogenase (folD) {Haemophilus influenzae},875,32120,.,-,.,gene=HP0577;Putative_Id=methylene-tetrahydrofolate dehydrogenase (folD) {Haemophilus influenzae};Orf_Size=875;Prot_Size(est)=32120.0
.,forsyth,gene,HP0578,608303,610336,hypothetical protein,2033,74580,.,-,.,gene=HP0578;Putative_Id=hypothetical protein;Orf_Size=2033;Prot_Size(est)=74580.0
.,forsyth,gene,HP0579,610345,610896,hypothetical protein,551,20240,.,-,.,gene=HP0579;Putative_Id=hypothetical protein;Orf_Size=551;Prot_Size(est)=20240.0
.,forsyth,gene,HP0580,610906,612021,hypothetical protein,1115,40920,.,-,.,gene=HP0580;Putative_Id=hypothetical protein;Orf_Size=1115;Prot_Size(est)=40920.0
.,forsyth,gene,HP0581,612000,613016,dihydroorotase (pyrC) {Salmonella choleraesuis},1016,37290,.,-,.,gene=HP0581;Putative_Id=dihydroorotase (pyrC) {Salmonella choleraesuis};Orf_Size=1016;Prot_Size(est)=37290.0
.,forsyth,gene,HP0582,613023,613994,hypothetical protein,971,35640,.,-,.,gene=HP0582;Putative_Id=hypothetical protein;Orf_Size=971;Prot_Size(est)=35640.0
.,forsyth,gene,HP0583,613981,614859,hypothetical protein,878,32230,.,-,.,gene=HP0583;Putative_Id=hypothetical protein;Orf_Size=878;Prot_Size(est)=32230.0
.,forsyth,gene,HP0584,614859,615227,flagellar switch protein (fliN) {Borrelia burgdorferi},368,13530,.,-,.,gene=HP0584;Putative_Id=flagellar switch protein (fliN) {Borrelia burgdorferi};Orf_Size=368;Prot_Size(est)=13530.0
.,forsyth,gene,HP0585,615312,615965,endonuclease III (nth) {Haemophilus influenzae},653,23980,.,-,.,gene=HP0585;Putative_Id=endonuclease III (nth) {Haemophilus influenzae};Orf_Size=653;Prot_Size(est)=23980.0
.,forsyth,gene,HP0586,616197,619127,hypothetical protein,2930,107470,.,-,.,gene=HP0586;Putative_Id=hypothetical protein;Orf_Size=2930;Prot_Size(est)=107470.0
