gene,-Val,strand,1' pH7,1' pH5,16' pH5,16' pH7,TSS
HP1424,1494988,+,0,0,0,0,1495038
HP1425,1496221,-,0,0,0,0,1496171
HP1426,1496789,-,0,0,0,0,1496739
HP1427,1497266,-,2,2,2,2,1497216
HP1431,1502451,-,0,0,0,0,1502401
HP1432,1502500,+,0,0,0,0,1502550
HP1435,1507962,-,0,0,0,0,1507912
HP1436,1507784,+,0,0,0,0,1507834
HP1437,1508341,+,0,0,0,0,1508391
HP1440,1514006,-,0,0,0,0,1513956
HP1441,1513962,+,0,0,0,0,1514012
HP1445,1515737,+,0,0,0,0,1515787
HP1447,1516899,+,4,4,4,4,1516949
HP1456,1526961,-,2,2,2,2,1526911
HP1457,1527605,-,3,3,3,3,1527555
HP1458,1528165,-,0,0,0,0,1528115
HP1460,1532618,-,0,0,0,0,1532568
HP1461,1532607,+,0,0,0,0,1532657
HP1466,1538037,-,0,0,0,0,1537987
HP1467,1537916,+,4,4,4,4,1537966
HP1469,1540704,-,0,0,0,0,1540654
HP1470,1543452,-,3,3,3,3,1543402
HP1472,1546809,-,4,4,4,4,1546759
HP1473,1547545,-,0,0,0,0,1547495
HP1490,1564513,-,0,0,0,0,1564463
HP1491,1566200,-,0,0,0,0,1566150
HP1492,1566186,+,0,0,0,0,1566236
HP1493,1566483,+,0,0,0,0,1566533
HP1496,1569436,+,1,1,1,1,1569486
HP1499,1571781,+,2,2,2,2,1571831
HP1501,1574320,-,0,0,0,0,1574270
HP1502,1574331,+,0,0,0,0,1574381
HP1503,1577691,-,1,1,1,1,1577641
HP1505,1579063,-,0,0,0,0,1579013
HP1506,1580269,-,2,2,2,2,1580219
HP1507,1580194,+,2,2,2,2,1580244
HP1508,1582977,-,4,4,4,4,1582927
HP1509,1582899,+,0,0,0,0,1582949
HP1512,1584342,+,0,0,0,0,1584392
HP1514,1588438,+,2,2,2,2,1588488
HP1515,1589847,+,0,0,0,0,1589897
HP1518,1594848,-,2,2,2,2,1594798
HP1523,1604054,-,0,0,0,0,1604004
HP1524,1603961,+,0,0,0,0,1604011
HP1527,1607468,-,1,1,1,1,1607418
HP1529,1609047,-,2,2,2,2,1608997
HP1530,1609063,+,2,2,2,2,1609113
HP1531,1609664,+,0,0,0,0,1609714
HP1534,1614356,-,0,0,0,0,1614306
HP1535,1614218,+,2,2,2,2,1614268
HP1536,1614982,-,0,0,0,0,1614932
HP1540,1618588,-,0,0,0,0,1618538
HP1542,1622203,-,1,1,1,1,1622153
HP1543,1623089,-,2,2,2,2,1623039
HP1544,1623960,-,5,5,5,5,1623910
HP1550,1630919,-,2,2,2,2,1630869
HP1551,1631287,-,0,0,0,0,1631237
HP1553,1635514,-,2,2,2,2,1635464
HP1554,1635485,+,0,0,0,0,1635535
HP1557,1640472,-,4,4,4,4,1640422
HP1559,1641555,-,0,0,0,0,1641505
HP1560,1641483,+,4,4,4,4,1641533
HP1561,1643855,-,2,2,2,2,1643805
HP1562,1645057,-,2,2,2,2,1645007
HP1563,1645078,+,0,0,0,0,1645128
HP1568,1650785,-,2,2,2,2,1650735
HP1569,1651599,-,4,4,4,4,1651549
HP1572,1653857,-,0,0,0,0,1653807
HP1573,1654709,-,0,0,0,0,1654659
HP1574,1654614,+,4,4,4,4,1654664
HP1578,1658467,-,0,0,0,0,1658417
HP1581,1660555,-,0,0,0,0,1660505
HP1582,1660530,+,1,1,1,1,1660580
HP1585,1663510,+,1,1,1,1,1663560
HP1587,1665564,-,1,1,1,1,1665514
HP1588,1666917,-,0,0,0,0,1666867
HPnc0030,22806,+,0,0,0,0,22856
HPnc0040,22980,-,0,0,0,0,22930
HPnc0480,141599,+,2,2,2,2,141649
HPnc0580,169972,+,1,1,1,1,170022
HPnc1200,315219,-,2,2,2,2,315169
HPnc1470,367003,+,3,3,3,3,367053
HPnc1810,438958,-,0,0,0,0,438908
HPnc1820,439167,+,0,0,0,0,439217
HPnc1880,445189,-,0,0,0,0,445139
HPnc1980,466718,-,4,4,4,4,466668
HPnc2090,479906,-,1,1,1,1,479856
HPnc2240,513677,-,2,2,2,2,513627
HPnc2250,515704,-,2,2,2,2,515654
HPnc2270,516744,+,3,3,3,3,516794
HPnc2400,533304,+,5,5,5,5,533354
HPnc2420,537674,-,1,1,1,1,537624
HPnc2440,540523,-,4,4,4,4,540473
HPnc2450,541348,-,0,0,0,0,541298
HPnc2630,568572,-,0,0,0,0,568522
HPnc3110,664497,-,0,0,0,0,664447
HPnc3210,684304,+,1,1,1,1,684354
HPnc3320,708691,+,3,3,3,3,708741
HPnc3830,804591,-,0,0,0,0,804541
HPnc4160,865520,+,0,0,0,0,865570
HPnc4170,865766,-,1,1,1,1,865716
HPnc4590,964701,+,0,0,0,0,964751
HPnc4620,968930,+,1,1,1,1,968980
HPnc4850,996841,+,0,0,0,0,996891
HPnc4860,997308,-,2,2,2,2,997258
HPnc4870,998667,+,5,5,5,5,998717
HPnc5140,1046268,+,1,1,1,1,1046318
HPnc5300,1070829,+,0,0,0,0,1070879
HPnc5320,1071910,+,1,1,1,1,1071960
HPnc5490,1105570,+,0,0,0,0,1105620
HPnc5510,1111283,+,2,2,2,2,1111333
HPnc5580,1120754,-,4,4,4,4,1120704
HPnc5800,1156050,+,0,0,0,0,1156100
HPnc6000,1180386,+,2,2,2,2,1180436
HPnc6160,1217256,+,4,4,4,4,1217306
HPnc6270,1235629,+,2,2,2,2,1235679
HPnc6320,1243524,-,0,0,0,0,1243474
HPnc6340,1245655,+,0,0,0,0,1245705
HPnc6350,1245830,-,3,3,3,3,1245780
HPnc6561,1295648,-,3,3,3,3,1295598
HPnc6670,1308013,-,2,2,2,2,1307963
HPnc6870,1366939,-,0,0,0,0,1366889
HPnc6910,1394941,+,0,0,0,0,1394991
HPnc7100,1414271,+,1,2,1,2,1414321
HPnc7230,1439414,+,5,5,5,5,1439464
HPnc7430,1471033,-,0,0,0,0,1470983
HPnc7510,1482976,-,0,0,0,0,1482926
HPnc7520,1483185,+,0,0,0,0,1483235
HPnc7620,1503031,+,1,1,1,1,1503081
HPnc7630,1503209,-,0,0,0,0,1503159
HPnc7670,1508420,-,0,0,0,0,1508370
HPnc7700,1510488,+,1,1,1,1,1510538
HPnc7720,1510692,+,4,4,4,4,1510742
HPnc7770,1515171,-,0,0,0,0,1515121
HPnc7830,1524731,-,3,3,3,3,1524681
HPnc7890,1543893,+,1,2,1,2,1543943
HPnc8050,1589847,+,0,0,0,0,1589897
HPnc8060,1590034,-,0,0,0,0,1589984
HPnc8160,1612468,+,0,0,0,0,1612518
HPnc8170,1612646,-,4,4,4,4,1612596
HPnc8330,1646957,+,0,0,0,0,1647007
HPr01,444929,+,2,2,2,2,444979
HPr04,1209599,-,0,0,0,0,1209549
HPr06,1477213,-,2,2,2,2,1477163
HPr07,1513151,-,0,0,0,0,1513101
HPt05,4843,-,0,0,0,0,4793
HPt06,78345,-,0,0,0,0,78295
HPt07,96898,+,0,0,0,0,96948
HPt08,238649,-,0,0,0,0,238599
HPt09,261622,-,0,0,0,0,261572
HPt10,345324,+,0,0,0,0,345374
HPt12,370110,-,0,0,0,0,370060
HPt13,374736,+,0,0,0,0,374786
HPt14,424612,+,1,1,1,1,424662
HPt15,424756,+,2,2,2,2,424806
HPt18,797897,-,0,0,0,0,797847
HPt19,887892,+,1,1,0,0,887942
HPt21,950168,-,2,2,2,2,950118
HPt22,1005626,+,0,0,0,0,1005676
HPt26,1072198,+,0,0,0,0,1072248
HPt27,1125228,+,2,2,2,2,1125278
HPt28,1249417,-,0,0,0,0,1249367
HPt33,1282619,-,0,0,0,0,1282569
HPt35,1288081,-,0,0,0,0,1288031
HPt36,1605819,+,1,1,1,1,1605869
RNase_P_RNA,629771,+,0,0,0,0,629821
sRNA_Li_13,788781,+,0,0,0,0,788831
sRNA_Li_14,1276516,+,0,0,0,0,1276566
sRNA_Li_15,1245830,-,3,3,3,3,1245780
sRNA_Li_22,497763,-,0,0,0,0,497713
sRNA_Li_42,1170459,-,2,2,2,2,1170409
sRNA_Li_50,1233870,+,2,2,2,2,1233920
SRP_RNA,16816,-,2,2,2,2,16766
