seqname,source,feature,HP_number,gene_type,start,end,Putative_Id,Orf_Size,Prot_Size(est),score,strand,frame
.,forsyth,gene,HP0379,CELL ENVELOPE,388835,390109,fucosyltransferase {Homo sapiens},1274,46750,.,+,.
.,forsyth,gene,HP0380,AMINO-ACID BIOSYNTHESIS,390128,391471,glutamate dehydrogenase (gdhA) {Eschericha coli},1343,49280,.,-,.
.,forsyth,gene,HP0381,"BIOSYNTHESIS OF COFACTORS, PROSTHETIC GROUPS, AND CARRIERS",391540,392367,protoporphyrinogen oxidase (hemK) {Bacillus subtilis},827,30360,.,-,.
.,forsyth,gene,HP0382,TRANSLATION,392367,393587,zinc-metallo protease (YJR117W) {Saccharomyces cerevisiae},1220,44770,.,-,.
.,forsyth,gene,HP0383,HYPOTHETICAL PROTEIEN,393770,394291,hypothetical protein,521,19140,.,+,.
.,forsyth,gene,HP0384,HYPOTHETICAL PROTEIEN,394340,395089,hypothetical protein,749,27500,.,-,.
.,forsyth,gene,HP0385,HYPOTHETICAL PROTEIEN,395289,395516,hypothetical protein,227,8360,.,+,.
.,forsyth,gene,HP0386,HYPOTHETICAL PROTEIEN,395532,395765,hypothetical protein,233,8580,.,+,.
.,forsyth,gene,HP0387,REPLICATION,395753,397609,primosomal protein replication factor (priA) {Haemophilus influenzae},1856,68090,.,+,.
.,forsyth,gene,HP0388,HYPOTHETICAL PROTEIEN,397649,398377,conserved hypothetical protein {Haemophilus influenzae},728,26730,.,-,.
.,forsyth,gene,HP0389,CELLULAR PROCESSES,398435,399073,superoxide dismutase (sodB) {Helicobacter pylori},638,23430,.,-,.
.,forsyth,gene,HP0390,HYPOTHETICAL PROTEIEN,399297,399794,adhesin-thiol peroxidase (tagD) {Haemophilus influenzae},497,18260,.,+,.
.,forsyth,gene,HP0391,CELLULAR PROCESSES,400055,400549,purine-binding chemotaxis protein (cheW) {Escherichia coli},494,18150,.,-,.
.,forsyth,gene,HP0392,CELLULAR PROCESSES,400549,402957,histidine kinase (cheA) {Borrelia burgdorferi},2408,88330,.,-,.
.,forsyth,gene,HP0393,CELLULAR PROCESSES,403017,403949,chemotaxis protein (cheV) {Bacillus subtilis},932,34210,.,-,.
.,forsyth,gene,HP0394,HYPOTHETICAL PROTEIEN,403956,404711,hypothetical protein,755,27720,.,-,.
.,forsyth,gene,HP0395,HYPOTHETICAL PROTEIEN,404716,405381,conserved hypothetical protein {Haemophilus influenzae},665,24420,.,-,.
.,forsyth,gene,HP0396,HYPOTHETICAL PROTEIEN,405407,407254,conserved hypothetical protein {Escherichia coli},1847,67760,.,-,.
.,forsyth,gene,HP0397,AMINO-ACID BIOSYNTHESIS,407267,408838,phosphoglycerate dehydrogenase (serA) {Escherichia coli},1571,57640,.,-,.
.,forsyth,gene,HP0398,HYPOTHETICAL PROTEIEN,408857,409402,hypothetical protein,545,20020,.,-,.
.,forsyth,gene,HP0399,TRANSLATION,409434,411101,ribosomal protein S1 (rps1) {Escherichia coli},1667,61160,.,-,.
.,forsyth,gene,HP0400,REGULATORY FUNCTIONS,411225,412046,penicillin tolerance protein (lytB) {Haemophilus influenzae},821,30140,.,-,.
.,forsyth,gene,HP0401,AMINO-ACID BIOSYNTHESIS,412039,413325,3-phosphoshikimate 1-carboxyvinyltransferase (aroA) {Campylobacter jejuni},1286,47190,.,-,.
.,forsyth,gene,HP0402,TRANSLATION,413344,415635,"phenylalanyl-tRNA synthetase, beta subunit (pheT) {Bacillus subtilis}",2291,84040,.,-,.
.,forsyth,gene,HP0403,TRANSLATION,415638,416621,"phenylalanyl-tRNA synthetase, alpha subunit (pheS) {Haemophilus influenzae}",983,36080,.,-,.
.,forsyth,gene,HP0404,TRANSLATION,416702,417013,protein kinase C inhibitor (SP:P16436) {Haemophilus influenzae},311,11440,.,+,.
.,forsyth,gene,HP0405,HYPOTHETICAL PROTEIEN,417035,418354,nifS-like protein {Mycobacterium leprae},1319,48400,.,+,.
.,forsyth,gene,HP0406,HYPOTHETICAL PROTEIEN,418383,418970,hypothetical protein,587,21560,.,+,.
.,forsyth,gene,HP0407,"BIOSYNTHESIS OF COFACTORS, PROSTHETIC GROUPS, AND CARRIERS",419077,421464,biotin sulfoxide reductase (bisC) {Haemophilus influenzae},2387,87560,.,+,.
.,forsyth,gene,HP0408,HYPOTHETICAL PROTEIEN,421633,422118,hypothetical protein,485,17820,.,+,.
.,forsyth,gene,HP0409,"PURINES, PYRIMIDINES, NUCLEOSIDES AND NUCLEOTIDES",422132,423655,GMP synthase (guaA) {Saccharomyces cerevisiae},1523,55880,.,+,.
.,forsyth,gene,HP0410,CELL ENVELOPE,423743,424489,putative neuraminyllactose-binding hemagglutinin homolog (hpaA) {Helicobacter pylori},746,27390,.,+,.
.,forsyth,gene,HP0411,HYPOTHETICAL PROTEIEN,424588,424902,hypothetical protein,314,11550,.,+,.
.,forsyth,gene,HP0412,HYPOTHETICAL PROTEIEN,425155,425250,hypothetical protein,95,3520,.,+,.
.,forsyth,gene,HP0413,OTHER CATEGORIES,426035,426838,"transposase-like protein, PS3IS {Thermophilic bacterium}",803,29480,.,-,.
.,forsyth,gene,HP0414,OTHER CATEGORIES,426876,427289,IS200 insertion sequence from SARA17 {Salmonella choleraesuis},413,15180,.,+,.
.,forsyth,gene,HP0415,HYPOTHETICAL PROTEIEN,427687,429555,conserved hypothetical integral membrane protein {Eshcerichia coli},1868,68530,.,+,.
.,forsyth,gene,HP0416,FATTY ACID AND PHOSPHOLIPID METABOLISM,429564,430730,cyclopropane fatty acid synthase (cfa) {Escherichia coli},1166,42790,.,-,.
.,forsyth,gene,HP0417,TRANSLATION,430899,432848,methionyl-tRNA synthetase (metS) {Bacillus stearothermophilus},1949,71500,.,+,.
.,forsyth,gene,HP0418,HYPOTHETICAL PROTEIEN,432852,433856,hypothetical protein,1004,36850,.,+,.
.,forsyth,gene,HP0419,HYPOTHETICAL PROTEIEN,433863,434645,conserved hypothetical protein {Haemophilus influenzae},782,28710,.,+,.
.,forsyth,gene,HP0420,HYPOTHETICAL PROTEIEN,434665,435090,hypothetical protein,425,15620,.,+,.
.,forsyth,gene,HP0421,CELL ENVELOPE,435098,436264,type 1 capsular polysaccharide biosynthesis protein J (capJ) {Staphylococcus aureus},1166,42790,.,+,.
.,forsyth,gene,HP0422,CENTRAL INTERMEDIARY METABOLISM,436282,438126,arginine decarboxylase (speA) {Escherichia coli},1844,67650,.,+,.
.,forsyth,gene,HP0423,HYPOTHETICAL PROTEIEN,438245,439168,hypothetical protein,923,33880,.,-,.
.,forsyth,gene,HP0424,HYPOTHETICAL PROTEIEN,439287,441143,hypothetical protein,1856,68090,.,-,.
.,forsyth,gene,HP0425,HYPOTHETICAL PROTEIEN,441188,442438,hypothetical protein,1250,45870,.,-,.
.,forsyth,gene,HP0426,HYPOTHETICAL PROTEIEN,442482,444215,hypothetical protein,1733,63580,.,-,.
.,forsyth,gene,HP0427,HYPOTHETICAL PROTEIEN,444268,444600,hypothetical protein,332,12210,.,-,.
.,forsyth,gene,HP0428,OTHER CATEGORIES,449150,449704,phage/colicin/tellurite resistance cluster terY protein {Escherichia coli},554,20350,.,+,.
.,forsyth,gene,HP0429,HYPOTHETICAL PROTEIEN,449832,449867,hypothetical protein,35,1320,.,+,.
.,forsyth,gene,HP0430,HYPOTHETICAL PROTEIEN,449956,450120,hypothetical protein,164,6050,.,+,.
.,forsyth,gene,HP0431,HYPOTHETICAL PROTEIEN,450127,450810,protein phosphatase 2C homolog (ptc1) {Mycoplasma genitalium},683,25080,.,+,.
.,forsyth,gene,HP0432,HYPOTHETICAL PROTEIEN,450804,451691,protein kinase C-like protein {Mus musculus},887,32560,.,+,.
.,forsyth,gene,HP0433,HYPOTHETICAL PROTEIEN,451722,452162,hypothetical protein,440,16170,.,+,.
.,forsyth,gene,HP0434,HYPOTHETICAL PROTEIEN,452159,453325,hypothetical protein,1166,42790,.,+,.
.,forsyth,gene,HP0435,HYPOTHETICAL PROTEIEN,453399,453971,hypothetical protein,572,21010,.,+,.
.,forsyth,gene,HP0436,HYPOTHETICAL PROTEIEN,453958,454320,hypothetical protein,362,13310,.,+,.
.,forsyth,gene,HP0437,OTHER CATEGORIES,454333,454758,IS605 transposase (tnpA) {Helicobacter pylori},425,15620,.,-,.
.,forsyth,gene,HP0438,OTHER CATEGORIES,454828,456108,IS605 transposase (tnpB) {Helicobacter pylori},1280,46970,.,+,.
.,forsyth,gene,HP0439,HYPOTHETICAL PROTEIEN,456083,457180,hypothetical protein,1097,40260,.,-,.
.,forsyth,gene,HP0440,REPLICATION,457300,459330,DNA topoisomerase I (topA) {Haemophilus influenzae},2030,74470,.,-,.
.,forsyth,gene,HP0441,CELLULAR PROCESSES,459336,461756,VirB4 homolog {Bordetella pertussis},2420,88770,.,-,.
.,forsyth,gene,HP0442,HYPOTHETICAL PROTEIEN,461752,462015,hypothetical protein,263,9680,.,-,.
.,forsyth,gene,HP0443,HYPOTHETICAL PROTEIEN,462019,462318,hypothetical protein,299,11000,.,-,.
.,forsyth,gene,HP0444,HYPOTHETICAL PROTEIEN,462318,463838,hypothetical protein,1520,55770,.,-,.
.,forsyth,gene,HP0445,HYPOTHETICAL PROTEIEN,463957,464139,hypothetical protein,182,6710,.,-,.
.,forsyth,gene,HP0446,HYPOTHETICAL PROTEIEN,464161,464937,hypothetical protein,776,28490,.,-,.
.,forsyth,gene,HP0447,HYPOTHETICAL PROTEIEN,465045,466124,conserved hypothetical protein {Saccharomyces cerevisiae},1079,39600,.,+,.
.,forsyth,gene,HP0448,HYPOTHETICAL PROTEIEN,466124,466507,hypothetical protein,383,14080,.,+,.
.,forsyth,gene,HP0449,HYPOTHETICAL PROTEIEN,466757,468172,hypothetical protein,1415,51920,.,+,.
.,forsyth,gene,HP0450,HYPOTHETICAL PROTEIEN,468172,468303,hypothetical protein,131,4840,.,+,.
.,forsyth,gene,HP0451,HYPOTHETICAL PROTEIEN,468276,468698,hypothetical protein,422,15510,.,+,.
.,forsyth,gene,HP0452,HYPOTHETICAL PROTEIEN,468777,470330,hypothetical protein,1553,56980,.,+,.
.,forsyth,gene,HP0453,HYPOTHETICAL PROTEIEN,470340,473402,hypothetical protein,3062,112310,.,+,.
.,forsyth,gene,HP0454,HYPOTHETICAL PROTEIEN,473368,474063,hypothetical protein,695,25520,.,+,.
.,forsyth,gene,HP0455,HYPOTHETICAL PROTEIEN,474313,474621,hypothetical protein,308,11330,.,+,.
.,forsyth,gene,HP0456,HYPOTHETICAL PROTEIEN,475056,475505,hypothetical protein,449,16500,.,+,.
.,forsyth,gene,HP0457,HYPOTHETICAL PROTEIEN,475826,476086,hypothetical protein,260,9570,.,+,.
.,forsyth,gene,HP0458,HYPOTHETICAL PROTEIEN,476101,476334,hypothetical protein,233,8580,.,+,.
.,forsyth,gene,HP0459,CELLULAR PROCESSES,476337,478910,virB4 homolog (virB4) {Agrobacterium radiobacter},2573,94380,.,+,.
.,forsyth,gene,HP0460,HYPOTHETICAL PROTEIEN,479043,479528,hypothetical protein,485,17820,.,+,.
.,forsyth,gene,HP0461,HYPOTHETICAL PROTEIEN,479560,479649,hypothetical protein,89,3300,.,-,.
.,forsyth,gene,HP0462,REPLICATION,480065,481159,type I restriction enzyme S protein (hsdS) {Methanococcus jannaschii},1094,40150,.,-,.
.,forsyth,gene,HP0463,REPLICATION,481322,482782,type I restriction enzyme M protein (hsdM) {Escherichia coli},1460,53570,.,-,.
.,forsyth,gene,HP0464,REPLICATION,482778,485942,type I restriction enzyme R protein (hsdR) {Methanococcus jannaschii},3164,116050,.,-,.
.,forsyth,gene,HP0465,HYPOTHETICAL PROTEIEN,485993,487885,conserved hypothetical protein {Helicobacter pylori},1892,69410,.,-,.
.,forsyth,gene,HP0466,HYPOTHETICAL PROTEIEN,487913,488677,conserved hypothetical protein {Helicobacter pylori},764,28050,.,-,.
.,forsyth,gene,HP0467,HYPOTHETICAL PROTEIEN,488690,489034,conserved hypothetical integral membrane protein {Helicobacter pylori},344,12650,.,-,.
.,forsyth,gene,HP0468,HYPOTHETICAL PROTEIEN,489006,490490,conserved hypothetical protein {Helicobacter pylori},1484,54450,.,-,.
.,forsyth,gene,HP0469,HYPOTHETICAL PROTEIEN,490505,490990,conserved hypothetical protein {Helicobacter pylori},485,17820,.,-,.
.,forsyth,gene,HP0470,TRANSLATION,490978,492711,oligoendopeptidase F (pepF) {Helicobacter pylori},1733,63580,.,-,.
.,forsyth,gene,HP0471,TRANSPORT AND BINDING PROTEINS,492812,494059,glutathione-regulated potassium-efflux system protein (kefB) {Helicobacter pylori},1247,45760,.,-,.
.,forsyth,gene,HP0472,CELL ENVELOPE,494382,494939,outer membrane protein (omp11),557,20460,.,-,.
.,forsyth,gene,HP0473,TRANSPORT AND BINDING PROTEINS,495165,495902,"molybdenum ABC transporter, periplasmic molybdate-binding protein (modA) {Helicobacter pylori}",737,27060,.,+,.
.,forsyth,gene,HP0474,TRANSPORT AND BINDING PROTEINS,495927,496598,"molybdenum ABC transporter, permease protein (modB) {Escherichia coli}",671,24640,.,+,.
.,forsyth,gene,HP0475,TRANSPORT AND BINDING PROTEINS,496598,497392,"molybdenum ABC transporter, ATP-binding protein (modD) {Azotobacter vinelandii}",794,29150,.,+,.
.,forsyth,gene,HP0476,TRANSLATION,497513,498901,glutamyl-tRNA synthetase (gltX) {Escherichia coli},1388,50930,.,-,.
.,forsyth,gene,HP0477,CELL ENVELOPE,499019,500119,outer membrane protein (omp12),1100,40370,.,+,.
.,forsyth,gene,HP0478,REPLICATION,500131,501765,adenine specific DNA methyltransferase (VSPIM) {Vibrio sp.},1634,59950,.,+,.
.,forsyth,gene,HP0479,HYPOTHETICAL PROTEIEN,501734,502579,hypothetical protein,845,31020,.,+,.
.,forsyth,gene,HP0480,HYPOTHETICAL PROTEIEN,502628,504424,"GTP-binding protein, fusA-homolog (yihK) {Escherichia coli}",1796,65890,.,+,.
.,forsyth,gene,HP0481,REPLICATION,504443,505075,adenine specific DNA methyltransferase (MFOKI) {Flavobacterium okeanokoites},632,23210,.,+,.
.,forsyth,gene,HP0482,HYPOTHETICAL PROTEIEN,505374,505883,hypothetical protein,509,18700,.,+,.
.,forsyth,gene,HP0483,REPLICATION,506145,507131,cytosine specific DNA methyltransferase (HPHIMC) {Haemophilus parahaemolyticus},986,36190,.,+,.
.,forsyth,gene,HP0484,HYPOTHETICAL PROTEIEN,507136,507885,hypothetical protein,749,27500,.,+,.
.,forsyth,gene,HP0485,HYPOTHETICAL PROTEIEN,508125,509066,catalase-like protein {Synechococcus sp.},941,34540,.,-,.
.,forsyth,gene,HP0486,HYPOTHETICAL PROTEIEN,509352,510935,hypothetical protein,1583,58080,.,+,.
.,forsyth,gene,HP0487,HYPOTHETICAL PROTEIEN,510965,512404,hypothetical protein,1439,52800,.,+,.
.,forsyth,gene,HP0488,HYPOTHETICAL PROTEIEN,512806,515676,hypothetical protein,2870,105270,.,+,.
.,forsyth,gene,HP0489,HYPOTHETICAL PROTEIEN,515693,516577,hypothetical protein,884,32450,.,+,.
.,forsyth,gene,HP0490,TRANSPORT AND BINDING PROTEINS,517003,518136,"putative potassium channel protein, putative {Methanococcus jannaschii}",1133,41580,.,-,.
.,forsyth,gene,HP0491,TRANSLATION,518288,518473,ribosomal protein L28 (rpL28) {Mycoplasma genitalium},185,6820,.,-,.
.,forsyth,gene,HP0492,HYPOTHETICAL PROTEIEN,518576,519409,hypothetical protein,833,30580,.,-,.
.,forsyth,gene,HP0493,CELL ENVELOPE,519534,520592,phospho-N-acetylmuramoyl-pentapeptide-transferase (mraY) {Escherichia coli},1058,38830,.,+,.
.,forsyth,gene,HP0494,CELL ENVELOPE,520597,521862,UDP-N-acetylmuramoylalanine-D-glutamate ligase (murD) {Haemophilus influenzae},1265,46420,.,+,.
.,forsyth,gene,HP0495,HYPOTHETICAL PROTEIEN,521865,522122,hypothetical protein,257,9460,.,-,.
.,forsyth,gene,HP0496,HYPOTHETICAL PROTEIEN,522115,522513,conserved hypothetical protein {Helicobacter pylori},398,14630,.,-,.
.,forsyth,gene,HP0497,TRANSPORT AND BINDING PROTEINS,522742,524067,sodium- and chloride-dependent transporter {Haemophilus influenzae},1325,48620,.,+,.
.,forsyth,gene,HP0498,TRANSPORT AND BINDING PROTEINS,524081,525406,sodium- and chloride-dependent transporter  {Haemophilus influenzae},1325,48620,.,+,.
.,forsyth,gene,HP0499,FATTY ACID AND PHOSPHOLIPID METABOLISM,525424,526488,phospholipase A1 precursor (DR-phospholipase A) {Escherichia coli},1064,39050,.,+,.
.,forsyth,gene,HP0500,REPLICATION,526549,527670,DNA polymerase III beta-subunit (dnaN) {Haemophilus influenzae},1121,41140,.,+,.
.,forsyth,gene,HP0501,REPLICATION,527686,530004,"DNA gyrase, sub B (gyrB) {Haemophilus influenzae}",2318,85030,.,+,.
.,forsyth,gene,HP0502,HYPOTHETICAL PROTEIEN,530053,530214,hypothetical protein,161,5940,.,+,.
.,forsyth,gene,HP0503,HYPOTHETICAL PROTEIEN,530306,531043,hypothetical protein,737,27060,.,+,.
.,forsyth,gene,HP0504,HYPOTHETICAL PROTEIEN,531033,531179,hypothetical protein,146,5390,.,+,.
.,forsyth,gene,HP0505,HYPOTHETICAL PROTEIEN,531323,531784,hypothetical protein,461,16940,.,+,.
.,forsyth,gene,HP0506,HYPOTHETICAL PROTEIEN,531991,533199,conserved hypothetical secreted protein {Haemophilus influenzae},1208,44330,.,+,.
.,forsyth,gene,HP0507,HYPOTHETICAL PROTEIEN,533202,533837,conserved hypothetical protein {Caenorhabditis elegans},635,23320,.,+,.
.,forsyth,gene,HP0508,HYPOTHETICAL PROTEIEN,533851,535206,hypothetical protein,1355,49720,.,+,.
.,forsyth,gene,HP0509,ENERGY METABOLISM,535211,536587,glycolate oxidase subunit (glcD) {Helicobacter pylori},1376,50490,.,+,.
.,forsyth,gene,HP0510,AMINO-ACID BIOSYNTHESIS,536612,537373,dihydrodipicolinate reductase (dapB) {Helicobacter pylori},761,27940,.,+,.
.,forsyth,gene,HP0511,HYPOTHETICAL PROTEIEN,537802,537915,hypothetical protein,113,4180,.,+,.
.,forsyth,gene,HP0512,AMINO-ACID BIOSYNTHESIS,538240,539682,glutamine synthetase (glnA) {Eschericha coli},1442,52910,.,-,.
.,forsyth,gene,HP0513,HYPOTHETICAL PROTEIEN,539973,541946,hypothetical protein,1973,72380,.,+,.
.,forsyth,gene,HP0514,TRANSLATION,542010,542459,ribosomal protein L9 (rpl9) {Bacillus stearothermophilus},449,16500,.,+,.
.,forsyth,gene,HP0515,TRANSLATION,542466,543005,heat shock protein (hslV) {Haemophilus influenzae},539,19800,.,+,.
.,forsyth,gene,HP0516,TRANSLATION,543008,544336,heat shock protein (hslU) ORF1 {Helicobacter pylori},1328,48730,.,+,.
.,forsyth,gene,HP0517,CELLULAR PROCESSES,544336,545241,GTP-binding protein (era) {Helicobacter pylori},905,33220,.,+,.
.,forsyth,gene,HP0518,HYPOTHETICAL PROTEIEN,545241,546230,conserved hypothetical secreted protein {Helicobacter pylori},989,36300,.,+,.
.,forsyth,gene,HP0519,HYPOTHETICAL PROTEIEN,546325,547152,conserved hypothetical protein {Helicobacter pylori},827,30360,.,-,.
.,forsyth,gene,HP0520,CELLULAR PROCESSES,547328,547672,cag pathogenicity island protein (cag1) {Helicobacter pylori},344,12650,.,+,.
.,forsyth,gene,HP0521,CELLULAR PROCESSES,547783,548022,cag pathogenicity island protein (cag2) {Helicobacter pylori},239,8800,.,+,.
.,forsyth,gene,HP0522,CELLULAR PROCESSES,548134,549576,cag pathogenicity island protein (cag3) {Helicobacter pylori},1442,52910,.,+,.
.,forsyth,gene,HP0523,CELLULAR PROCESSES,549589,550095,cag pathogenicity island protein (cag4) {Helicobacter pylori},506,18590,.,+,.
.,forsyth,gene,HP0524,CELLULAR PROCESSES,550220,552463,cag pathogenicity island protein (cag5) {Helicobacter pylori},2243,82280,.,-,.
.,forsyth,gene,HP0525,CELLULAR PROCESSES,552475,553464,virB11 homolog {Helicobacter pylori},989,36300,.,-,.
.,forsyth,gene,HP0526,CELLULAR PROCESSES,553472,554068,cag pathogenicity island protein (cag6) {Helicobacter pylori},596,21890,.,-,.
.,forsyth,gene,HP0527,CELLULAR PROCESSES,554209,559989,cag pathogenicity island protein (cag7) {Helicobacter pylori},5780,211970,.,-,.
.,forsyth,gene,HP0528,CELLULAR PROCESSES,560007,561572,cag pathogenicity island protein (cag8) {Helicobacter pylori},1565,57420,.,-,.
.,forsyth,gene,HP0529,CELLULAR PROCESSES,561628,563232,cag pathogenicity island protein (cag9) {Helicobacter pylori},1604,58850,.,-,.
.,forsyth,gene,HP0530,CELLULAR PROCESSES,563240,563995,cag pathogenicity island protein (cag10) {Helicobacter pylori},755,27720,.,-,.
.,forsyth,gene,HP0531,CELLULAR PROCESSES,564381,565034,cag pathogenicity island protein (cag11) {Helicobacter pylori},653,23980,.,+,.
.,forsyth,gene,HP0532,CELLULAR PROCESSES,565073,565912,cag pathogenicity island protein (cag12) {Helicobacter pylori},839,30800,.,+,.
.,forsyth,gene,HP0533,HYPOTHETICAL PROTEIEN,566038,566124,hypothetical protein,86,3190,.,-,.
.,forsyth,gene,HP0534,CELLULAR PROCESSES,566129,566716,cag pathogenicity island protein (cag13) {Helicobacter pylori},587,21560,.,-,.
.,forsyth,gene,HP0535,CELLULAR PROCESSES,567145,567522,cag pathogenicity island protein (cag14) {Helicobacter pylori},377,13860,.,-,.
.,forsyth,gene,HP0536,CELLULAR PROCESSES,567958,568299,cag pathogenicity island protein (cag15) {Helicobacter pylori},341,12540,.,-,.
.,forsyth,gene,HP0537,CELLULAR PROCESSES,568723,569850,cag pathogenicity island protein (cag16) {Helicobacter pylori},1127,41360,.,+,.
.,forsyth,gene,HP0538,CELLULAR PROCESSES,569868,570785,cag pathogenicity island protein (cag17) {Helicobacter pylori},917,33660,.,+,.
.,forsyth,gene,HP0539,CELLULAR PROCESSES,570873,571583,cag pathogenicity island protein (cag18) {Helicobacter pylori},710,26070,.,-,.
.,forsyth,gene,HP0540,CELLULAR PROCESSES,571583,572725,cag pathogenicity island protein (cag19) {Helicobacter pylori},1142,41910,.,-,.
.,forsyth,gene,HP0541,CELLULAR PROCESSES,572739,573848,cag pathogenicity island protein (cag20) {Helicobacter pylori},1109,40700,.,-,.
.,forsyth,gene,HP0542,CELLULAR PROCESSES,573867,574292,cag pathogenicity island protein (cag21) {Helicobacter pylori},425,15620,.,-,.
.,forsyth,gene,HP0543,CELLULAR PROCESSES,574350,575153,cag pathogenicity island protein (cag22) {Helicobacter pylori},803,29480,.,-,.
.,forsyth,gene,HP0544,CELLULAR PROCESSES,575158,578106,cag pathogenicity island protein (cag23) {Helicobacter pylori},2948,108130,.,-,.
.,forsyth,gene,HP0545,CELLULAR PROCESSES,578118,578738,cag pathogenicity island protein (cag24) {Helicobacter pylori},620,22770,.,-,.
.,forsyth,gene,HP0546,CELLULAR PROCESSES,578743,579087,cag pathogenicity island protein (cag25) {Helicobacter pylori},344,12650,.,-,.
.,forsyth,gene,HP0547,CELLULAR PROCESSES,579921,583478,cag pathogenicity island protein (cag26) {Helicobacter pylori},3557,130460,.,+,.
.,forsyth,gene,HP0548,REPLICATION,583610,584434,"DNA helicase, putative {Methanococcus jannaschii}",824,30250,.,+,.
.,forsyth,gene,HP0549,CELL ENVELOPE,584586,585350,glutamate racemase (glr) {Staphylococcus haemolyticus},764,28050,.,-,.
.,forsyth,gene,HP0550,TRANSCRIPTION,585391,586704,transcription termination factor Rho (rho) {Haemophilus influenzae},1313,48180,.,-,.
.,forsyth,gene,HP0551,TRANSLATION,586968,587168,ribosomal protein L31 (rpl31) {Bacillus subtilis},200,7370,.,+,.
.,forsyth,gene,HP0552,HYPOTHETICAL PROTEIEN,587196,588056,conserved hypothetical protein {Escherichia coli},860,31570,.,+,.
.,forsyth,gene,HP0553,HYPOTHETICAL PROTEIEN,588072,588752,conserved hypothetical protein {Haemophilus influenzae},680,24970,.,+,.
.,forsyth,gene,HP0554,HYPOTHETICAL PROTEIEN,588768,589730,hypothetical protein,962,35310,.,+,.
.,forsyth,gene,HP0555,HYPOTHETICAL PROTEIEN,589730,590548,hypothetical protein,818,30030,.,+,.
.,forsyth,gene,HP0556,HYPOTHETICAL PROTEIEN,590627,591061,hypothetical protein,434,15950,.,-,.
.,forsyth,gene,HP0557,FATTY ACID AND PHOSPHOLIPID METABOLISM,591533,592468,acetyl-coenzyme A carboxylase (accA) {Escherichia coli},935,34320,.,-,.
.,forsyth,gene,HP0558,FATTY ACID AND PHOSPHOLIPID METABOLISM,592494,593729,beta ketoacyl-acyl carrier protein synthase II (fabF) {Escherichia coli},1235,45320,.,-,.
.,forsyth,gene,HP0559,FATTY ACID AND PHOSPHOLIPID METABOLISM,594040,594273,acyl carrier protein (acpP) {Haemophilus influenzae},233,8580,.,-,.
.,forsyth,gene,HP0560,HYPOTHETICAL PROTEIEN,594329,594406,hypothetical protein,77,2860,.,-,.
.,forsyth,gene,HP0561,FATTY ACID AND PHOSPHOLIPID METABOLISM,594507,595247,3-ketoacyl-acyl carrier protein reductase (fabG) {Escherichia coli},740,27170,.,-,.
.,forsyth,gene,HP0562,TRANSLATION,595292,595501,ribosomal protein S21 (rps21) {Myxococcus xanthus},209,7700,.,-,.
.,forsyth,gene,HP0563,HYPOTHETICAL PROTEIEN,595605,596852,hypothetical protein,1247,45760,.,-,.
.,forsyth,gene,HP0564,HYPOTHETICAL PROTEIEN,597100,597267,hypothetical protein,167,6160,.,+,.
.,forsyth,gene,HP0565,HYPOTHETICAL PROTEIEN,597296,597940,hypothetical protein,644,23650,.,-,.
.,forsyth,gene,HP0566,AMINO-ACID BIOSYNTHESIS,598050,598868,diaminopimelate epimerase (dapF) {Haemophilus influenzae},818,30030,.,-,.
.,forsyth,gene,HP0567,CELL ENVELOPE,598984,600027,membrane protein {Streptococcus pneumoniae},1043,38280,.,+,.
.,forsyth,gene,HP0568,HYPOTHETICAL PROTEIEN,600180,600944,hypothetical protein,764,28050,.,-,.
.,forsyth,gene,HP0569,HYPOTHETICAL PROTEIEN,601082,602179,GTP-binding protein (gtp1) {Mycoplasma genitalium},1097,40260,.,-,.
.,forsyth,gene,HP0570,TRANSLATION,602184,603671,aminopeptidase a/i (pepA) {Haemophilus influenzae},1487,54560,.,-,.
.,forsyth,gene,HP0571,HYPOTHETICAL PROTEIEN,603722,604297,conserved hypothetical integral membrane protein {Escherichia coli},575,21120,.,-,.
.,forsyth,gene,HP0572,"PURINES, PYRIMIDINES, NUCLEOSIDES AND NUCLEOTIDES",604315,604851,adenine phosphoribosyltransferase (apt) {Escherichia coli},536,19690,.,-,.
.,forsyth,gene,HP0573,HYPOTHETICAL PROTEIEN,604912,605241,hypothetical protein,329,12100,.,-,.
.,forsyth,gene,HP0574,ENERGY METABOLISM,605296,605748,galactosidase acetyltransferase (lacA) {Mycoplasma genitalium},452,16610,.,-,.
.,forsyth,gene,HP0575,HYPOTHETICAL PROTEIEN,605772,606467,conserved hypothetical membrane protein {Bacillus subtilis},695,25520,.,-,.
.,forsyth,gene,HP0576,CELLULAR PROCESSES,606479,607348,signal peptidase I (lepB) {Haemophilus influenzae},869,31900,.,-,.
.,forsyth,gene,HP0577,"BIOSYNTHESIS OF COFACTORS, PROSTHETIC GROUPS, AND CARRIERS",607351,608226,methylene-tetrahydrofolate dehydrogenase (folD) {Haemophilus influenzae},875,32120,.,-,.
.,forsyth,gene,HP0578,HYPOTHETICAL PROTEIEN,608303,610336,hypothetical protein,2033,74580,.,-,.
.,forsyth,gene,HP0579,HYPOTHETICAL PROTEIEN,610345,610896,hypothetical protein,551,20240,.,-,.
